# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
11108.0000 M377 2000000 1 4.0000 p11 p37 299 N p11->p37
11154.6000 M367 2000000 1 330.6000 p12 p20 294 N p12->p20
11230.8000 M363 2000000 1 513.8000 p6 p39 291 N p6->p39
11246.0000 M371 2000000 3 313.0000 p14 p20 294 N p14->p30->p17->p20
11250.0000 M362 2000000 2 558.0000 p10 p29 290 N p10->p17->p29
11282.0000 M380 2000000 2 95.0000 p28 p34 298 N p28->p13->p34
11301.1000 M378 2000000 2 167.1000 p20 p39 297 N p20->p24->p39
11310.0000 M354 2000000 1 842.0000 p32 p41 285 N p32->p41
11411.2000 M387 2000000 4 16.2000 p3 p23 299 N p3->p41->p29->p39->p23
11447.0000 M388 2000000 1 24.0000 p3 p14 299 N p3->p14
11487.0000 M390 2000000 3 12.0000 p23 p47 299 N p23->p19->p0->p47
11497.2000 M328 2000000 1 1798.2000 p0 p14 270 N p0->p14
11538.5000 M386 2000000 2 173.5000 p4 p24 297 N p4->p38->p24
11573.0000 M389 2000000 2 123.0000 p8 p14 297 N p8->p40->p14
11612.3000 M385 2000000 1 279.3000 p20 p43 295 N p20->p43
11640.0000 M395 2000000 1 4.0000 p30 p25 299 N p30->p25
11716.9000 M357 2000000 1 1162.9000 p27 p37 280 N p27->p37
11719.9000 M341 2000000 1 1642.9000 p46 p2 272 N p46->p2
